epoch,acc,nmi,Ln,Lc
0,0.8734,0.84906,0,0
1,0.87309,0.84861,0.005752574936248852,0.012433294
2,0.87233,0.84727,0.00514388830489377,0.012272089
3,0.87137,0.84579,0.005051430180519276,0.01219246
4,0.87031,0.8442,0.004975452052130207,0.012171299
5,0.86893,0.84215,0.004906516098995169,0.012188733
6,0.86787,0.84082,0.004845786778541812,0.012230037
7,0.86711,0.83965,0.004792377745297595,0.012283527
8,0.86569,0.83761,0.004743999932437157,0.0123403305
9,0.86473,0.8365,0.004700429696780052,0.012392441
10,0.8639,0.83557,0.004661073347376863,0.012438076
11,0.86289,0.83458,0.004623637996940282,0.012472117
12,0.86199,0.83359,0.004589808843078187,0.012492485
13,0.86147,0.83295,0.004559741105653182,0.01249651
14,0.86076,0.83225,0.004530577108019242,0.012484818
15,0.86027,0.8318,0.004503788409523503,0.012460164
16,0.85987,0.8317,0.004477654864168624,0.01241872
17,0.85957,0.83131,0.0044537454683768705,0.012364063
18,0.85923,0.83112,0.0044309047159541695,0.012295237
19,0.85937,0.83155,0.004409528045106108,0.012213424
20,0.8594,0.83185,0.004389514007952309,0.012122973
21,0.85936,0.83196,0.004370069217929331,0.012022278
22,0.85924,0.83242,0.0043509489768286695,0.011916131
23,0.85956,0.83282,0.0043321005697532075,0.01180359
24,0.85969,0.83308,0.004314727695441268,0.011687435
25,0.85964,0.83328,0.004297546187524487,0.011568178
26,0.85986,0.8337,0.004281221052808483,0.011444085
27,0.86024,0.83438,0.004264964711899958,0.011320308
28,0.86039,0.83499,0.004250014345263587,0.011191219
29,0.86061,0.83546,0.0042341310262380945,0.011063004
30,0.86101,0.83633,0.004218487821886465,0.010932914
31,0.86144,0.8371,0.004203768526917718,0.010802372
32,0.86177,0.83772,0.004188924188297378,0.010672845
33,0.86211,0.83824,0.004176265706247005,0.010544414
34,0.86237,0.83884,0.0041631762172863645,0.010417812
35,0.86273,0.83957,0.0041505649471723464,0.010292496
36,0.86326,0.84046,0.004138616875602599,0.010166749
37,0.8638,0.84141,0.004125349517626158,0.010044146
38,0.86444,0.84245,0.0041136621755894515,0.009923162
39,0.86493,0.84312,0.004101330201977687,0.009808389
40,0.86519,0.84379,0.004090397948412782,0.00969598
41,0.86557,0.84461,0.004079144089448735,0.009582175
42,0.86587,0.84543,0.004067833725716511,0.0094709005
43,0.86614,0.8461,0.004057315784934772,0.009364253
44,0.8664,0.84689,0.004046813335038558,0.009258262
45,0.86666,0.84777,0.004036234707034526,0.009154697
46,0.86703,0.84844,0.00402674121428689,0.009053775
47,0.86723,0.84918,0.004017865631974092,0.008953295
48,0.86734,0.8498,0.004009057924042653,0.008855308
49,0.86769,0.85059,0.003998418298658718,0.008763155
50,0.8681,0.85133,0.003989420655305858,0.008671499
51,0.86833,0.85193,0.0039810250083283675,0.008580984
52,0.86861,0.85275,0.00397317846948077,0.008491074
53,0.86851,0.85338,0.003965034709570344,0.0084025655
54,0.86821,0.85388,0.003957295431721493,0.00831671
55,0.86846,0.85478,0.00395080081635855,0.008231011
56,0.8688,0.85604,0.003943578086038848,0.008147833
57,0.86916,0.85715,0.003935363548161992,0.008067465
58,0.86927,0.85785,0.003928010792124772,0.007987171
59,0.86921,0.85842,0.003920771396569364,0.007911636
60,0.86933,0.85958,0.003914217916691173,0.007835833
61,0.86959,0.86054,0.003908056388507141,0.0077616135
62,0.86974,0.86152,0.0039010593849472214,0.0076904604
63,0.87009,0.86232,0.0038938795218081044,0.0076193134
64,0.87013,0.8632,0.003887258173496782,0.0075527686
65,0.87004,0.86407,0.0038809425139758927,0.0074852477
66,0.8701,0.86482,0.0038740820630392345,0.0074203075
67,0.87017,0.86588,0.0038677311126808942,0.007357358
68,0.87029,0.86672,0.0038613622199172954,0.007295276
69,0.87026,0.8674,0.0038545984752734537,0.007234388
70,0.87034,0.86833,0.0038484956076654205,0.007172977
71,0.8703,0.86928,0.0038423935558143866,0.0071114483
72,0.87043,0.87006,0.0038365706109720534,0.007052649
73,0.87036,0.8709,0.003830567371936338,0.0069946763
74,0.87016,0.87191,0.0038256168681584353,0.006938917
75,0.87026,0.87293,0.0038200453277269417,0.0068840836
76,0.87001,0.87388,0.00381492076349873,0.0068299933
77,0.86996,0.87466,0.0038097507395122173,0.0067764716
78,0.8699,0.87551,0.0038043241412548797,0.0067259343
79,0.86974,0.87642,0.003798688262238772,0.0066760406
80,0.86976,0.87747,0.003793780644335886,0.0066264556
81,0.86987,0.87834,0.003788063265247284,0.0065798303
82,0.87021,0.87948,0.0037838097094102714,0.0065293037
83,0.87001,0.88019,0.003779584881815597,0.0064799627
84,0.87003,0.88098,0.0037751732543654685,0.006432745
85,0.86991,0.88193,0.00377130634185389,0.006385696
86,0.86991,0.88257,0.003766474911406038,0.0063395416
87,0.86989,0.88326,0.003761883672959015,0.0062955385
