epoch,loss,mse
0,12371.225707589285,0.061689187
1,11123.868285379463,0.055473067
2,10155.591304910715,0.050644442
3,8949.982747209822,0.044631034
4,7853.409516462054,0.039161667
5,7096.398354408482,0.035387482
6,6584.481969363839,0.03283621
7,6063.814194029018,0.030238738
8,5570.573970758928,0.02777852
9,5130.307533035714,0.02558331
10,4801.381379492187,0.023943186
11,4517.582716489956,0.022527708
12,4288.444256082589,0.021385005
13,4097.439573828125,0.020434953
14,3930.881811328125,0.019602243
15,3788.4920710379465,0.018891407
16,3647.545178264509,0.018190121
17,3530.2553003348216,0.017604383
18,3426.5194822265626,0.017088812
19,3328.4197442522322,0.016599573
20,3245.611277985491,0.016186094
21,3159.8095749441964,0.015757933
22,3100.7306418526787,0.015463846
23,3029.8267721819198,0.015108972
24,2984.070318889509,0.014881304
25,2930.419181584821,0.014614454
26,2882.588582952009,0.014375325
27,2843.083761997768,0.014178339
28,2802.7025688895087,0.013976951
29,2762.9216135881697,0.013778476
30,2729.429273214286,0.013611818
