epoch,acc,nmi,Ln,Lc
0,0.96246,0.91244,0,0
1,0.96237,0.91225,0.006036228296367356,0.01341558
2,0.962,0.91146,0.005381777649745345,0.0132110035
3,0.96179,0.91118,0.005315092135642241,0.013087978
4,0.96114,0.91019,0.005253509181572029,0.0130257895
5,0.96069,0.90953,0.005199900116214026,0.012999389
6,0.96001,0.90863,0.005159285575504938,0.012989966
7,0.95929,0.90763,0.005123793259670917,0.012982273
8,0.95861,0.9068,0.00509262688961016,0.012964759
9,0.95807,0.90612,0.005063184486008691,0.012932661
10,0.95757,0.90564,0.005039125094598119,0.012880237
