epoch,acc,nmi,Ln,Lc
0,0.90339,0.86508,0,0
1,0.90313,0.86452,0.006996276829201374,0.01618837
2,0.90193,0.86234,0.006169930265291872,0.015919238
3,0.90054,0.85972,0.006109721640831906,0.015711177
4,0.89943,0.85759,0.006063683993475389,0.01554896
5,0.89789,0.85512,0.0060182265124970324,0.015418377
6,0.89676,0.85309,0.005979705387794406,0.015304084
7,0.89564,0.85134,0.005945641073282727,0.015199305
8,0.89456,0.84966,0.005910426682459503,0.015091466
9,0.89394,0.8486,0.005879270765984798,0.014974594
10,0.89344,0.84768,0.005847211128413459,0.014850171
