epoch,acc,nmi,Ln,Lc
0,0.8313,0.88266,0,0
1,0.8291,0.88074,0.00648669307765952,0.014607532
2,0.82653,0.87777,0.005765250093731893,0.014416018
3,0.82674,0.87499,0.0056635794743052584,0.0143039785
4,0.82636,0.87176,0.0055739564199109365,0.014248483
5,0.82611,0.86911,0.005490526337733995,0.014232269
6,0.82541,0.86601,0.005418782939889679,0.014237607
7,0.82499,0.86368,0.0053545923539892815,0.014252071
8,0.82454,0.86188,0.005296722489551906,0.0142659
9,0.82426,0.86025,0.005245056817389644,0.014277503
10,0.82386,0.85821,0.005196090269303561,0.0142789995
11,0.82357,0.85682,0.005153413581573506,0.014270752
12,0.82314,0.85518,0.005114337789696934,0.014249315
13,0.82264,0.85407,0.0050750802301658985,0.014212287
14,0.82207,0.85292,0.005038564564170738,0.014159232
15,0.82189,0.85238,0.005003910979092883,0.014091287
16,0.82186,0.85208,0.0049721075232093135,0.014011737
17,0.82181,0.85166,0.004942197174200937,0.013919947
18,0.82154,0.85106,0.004914578182935497,0.013813987
19,0.82166,0.85106,0.004887061312549958,0.01369948
20,0.82163,0.85106,0.004858740248520226,0.013574326
21,0.82184,0.85099,0.0048340851692550806,0.013442626
22,0.82221,0.85108,0.004808193930921002,0.013309975
23,0.82241,0.85116,0.004783806392759846,0.01316979
24,0.82254,0.85105,0.004762276109770267,0.013023612
25,0.82294,0.85128,0.004741115498961541,0.012872984
26,0.82356,0.85165,0.004718562904201503,0.012719147
27,0.82407,0.85235,0.00469729222907909,0.012560743
28,0.8245,0.85268,0.004677565151444861,0.0124026695
29,0.82509,0.85313,0.004657265488874086,0.012245567
30,0.82553,0.85353,0.00463856872592638,0.012086709
31,0.82616,0.8542,0.004621437771150666,0.011928785
32,0.82691,0.85497,0.004603943556384014,0.011771615
33,0.82747,0.85555,0.004585229698228684,0.011616378
34,0.82804,0.85604,0.004568906944503423,0.011463979
35,0.8289,0.85653,0.004553584298662787,0.011309699
36,0.82947,0.85701,0.004538451489672935,0.011155423
37,0.8302,0.85765,0.004523078921203413,0.011005292
38,0.83083,0.85809,0.0045069702374103075,0.010855204
39,0.83167,0.85905,0.004492025147702028,0.010705518
40,0.83223,0.85964,0.004477712210186206,0.010557251
41,0.83289,0.86023,0.004464314319193363,0.010413702
42,0.83359,0.86091,0.004451981444849911,0.010270807
43,0.83431,0.86144,0.004438768504663323,0.010130954
44,0.83487,0.86205,0.004426098292707092,0.009990877
