epoch,acc,nmi,Ln,Lc
0,0.9642,0.91788,0,0
1,0.9647,0.91849,0.005908090719803624,0.012415444
2,0.9643,0.91769,0.005308942886300548,0.012201988
3,0.96393,0.91684,0.005221637715347601,0.012051273
4,0.96296,0.91513,0.00514409837421764,0.011948639
5,0.96207,0.91392,0.005077187196236023,0.011880167
6,0.96101,0.91241,0.0050174539762610285,0.011833754
7,0.9598,0.91065,0.0049657213423455505,0.011799226
8,0.95834,0.90842,0.004917677201289874,0.011771372
9,0.95731,0.90704,0.004874436895152295,0.011745337
10,0.95654,0.90617,0.004832699967983321,0.011715837
11,0.95537,0.90457,0.004795109062883867,0.011682657
12,0.95453,0.90355,0.004760691787313371,0.011642308
13,0.95384,0.90275,0.004726868758426748,0.011595496
14,0.9531,0.90175,0.004696750800961452,0.011544348
15,0.9526,0.90125,0.00467028340195598,0.011485128
16,0.95186,0.9003,0.0046437453430988925,0.011418558
17,0.95124,0.89952,0.004619294911772556,0.011346085
18,0.95083,0.89902,0.004595367803856948,0.011268759
19,0.95044,0.89845,0.004572067001875299,0.011183892
