epoch,acc,nmi,Ln,Lc
0,0.96244,0.91377,0,0
1,0.96094,0.91238,0.00585026802481526,0.013614236
2,0.95811,0.90906,0.005114969002069348,0.013348259
3,0.95467,0.90526,0.005060386383416553,0.013145239
4,0.95099,0.90139,0.005013899293041578,0.012994875
5,0.94697,0.89749,0.004973781993612647,0.01288537
6,0.9426,0.89315,0.004937734038494256,0.012807699
7,0.93851,0.88934,0.004909659744355909,0.01275009
8,0.93447,0.8856,0.004883319042609447,0.012703989
9,0.9304,0.88212,0.004853719279482743,0.012661385
10,0.92657,0.87902,0.0048284058044426635,0.012616823
